Id,LotArea,YearBuilt,FullBath,TotRmsAbvGrd,GarageArea,1stFlrSF,2ndFlrSF,SalePrice
1,8450,2003,2,8,548,856,854,208500
2,9600,1976,2,6,460,1262,0,181500
3,11250,2001,2,6,608,920,866,223500
4,9550,1915,1,7,642,961,756,140000
5,14260,2000,2,9,836,1145,1053,250000
6,14115,1993,1,5,480,796,566,143000
7,10084,2004,2,7,636,1694,0,307000
8,10382,1973,2,7,484,1107,983,200000
9,6120,1931,2,8,468,1022,752,129900
10,7420,1939,1,5,205,1077,0,118000
11,11200,1965,1,5,384,1040,0,129500
12,11924,2005,3,11,736,1182,1142,345000
13,12968,1962,1,4,352,912,0,144000
14,10652,2006,2,7,840,1494,0,279500
15,10920,1960,1,5,352,1253,0,157000
16,6120,1929,1,5,576,854,0,132000
17,11241,1970,1,5,480,1004,0,149000
18,10791,1967,2,6,516,1296,0,90000
19,13695,2004,1,6,576,1114,0,159000
20,7560,1958,1,6,294,1339,0,139000
21,14215,2005,3,9,853,1158,1218,325300
22,7449,1930,1,6,280,1108,0,139400
23,9742,2002,2,7,534,1795,0,230000
24,4224,1976,1,6,572,1060,0,129900
25,8246,1968,1,6,270,1060,0,154000
26,14230,2007,2,7,890,1600,0,256300
27,7200,1951,1,5,576,900,0,134800
28,11478,2007,2,7,772,1704,0,306000
29,16321,1957,1,6,319,1600,0,207500
30,6324,1927,1,4,240,520,0,68500
31,8500,1920,1,6,250,649,668,40000
32,8544,1966,1,6,271,1228,0,149350
33,11049,2007,2,7,484,1234,0,179900
34,10552,1959,1,6,447,1700,0,165500
35,7313,2005,2,6,556,1561,0,277500
36,13418,2004,3,9,691,1132,1320,309000
37,10859,1994,1,6,672,1097,0,145000
38,8532,1954,1,5,498,1297,0,153000
39,7922,1953,1,5,246,1057,0,109000
40,6040,1955,2,6,0,1152,0,82000
41,8658,1965,2,6,440,1324,0,160000
42,16905,1959,1,5,308,1328,0,170000
43,9180,1983,1,5,504,884,0,144000
44,9200,1975,1,5,308,938,0,130250
45,7945,1959,1,6,300,1150,0,141000
46,7658,2005,2,6,576,1752,0,319900
47,12822,2003,1,6,670,1518,631,239686
